Timestamp_s,Latitude_deg,Longitude_deg,Altitude_ft,Airspeed_kts,ClimbRate_fpm,Pitch_deg,Roll_deg,Heading_deg,Ctrl_Pitch_Ratio,Ctrl_Roll_Ratio,Ctrl_Yaw_Ratio,Collective_deg,Engine_Torque_Nm
0.0,-34.553989990658124,-58.4249925395286,4468.347630197182,1.8223594427108765,-2698.76611328125,-3.6727077960968018,7.091324329376221,10.036675453186035,0.7,-0.05690243727923435,-0.008029340362548829,7.0,121.66861724853516
0.05,-34.55398948479723,-58.424992059280925,4467.410568911582,1.9067189693450928,-2745.51025390625,-3.783092975616455,7.122044086456299,10.514508247375488,0.7,-0.05790588539131196,-0.017394574236210027,10.0,132.6553497314453
0.101,-34.55398903147213,-58.42499160571368,4466.626531608403,1.9813201427459717,-2784.078857421875,-3.823434352874756,7.058923244476318,10.96022891998291,0.7,-0.058018663381816514,-0.018954733779144278,11.0,111.94610595703125
0.151,-34.553988539683225,-58.424991045424726,4465.810459579341,2.065643548965454,-2824.248779296875,-3.7062299251556396,6.955814838409424,11.49850082397461,0.7,-0.05788534324440538,-0.020026955409237424,11.0,100.9925308227539
0.202,-34.55398798292017,-58.42499035173363,4464.913987513632,2.1598641872406006,-2864.833984375,-3.3107986450195312,6.936348915100098,12.337183952331543,0.7,-0.058496013049705455,-0.025051016072584108,11.0,104.55783081054688
0.252,-34.553987515069956,-58.4249897114034,4464.174857074395,2.235321044921875,-2894.245361328125,-2.718817949295044,7.0641255378723145,13.194745063781738,0.7,-0.060201608123433004,-0.028284916694542275,11.0,107.60523223876953
0.302,-34.55398704755752,-58.42498899103189,4463.443406774662,2.308645248413086,-2920.384521484375,-1.8726952075958252,7.310885429382324,14.153070449829102,0.7,-0.06287803963235904,-0.03127302128234393,11.0,110.55574798583984
0.35,-34.553986538709374,-58.42498813725824,4462.649915465154,2.3822977542877197,-2944.393310546875,-0.670889139175415,7.632896423339844,15.294976234436035,0.7,-0.06629424843511245,-0.03298575629722994,11.0,114.37982177734375
0.402,-34.55398609147278,-58.42498733684545,4461.9497421896085,2.4359939098358154,-2960.5947265625,0.6050735712051392,7.8778767585754395,16.38084602355957,0.7,-0.06901596845612526,-0.035560556660584886,11.0,119.51968383789062
0.451,-34.553985677285176,-58.4249864830718,4461.293511874974,2.4750099182128906,-2971.81005859375,1.9417780637741089,8.029118537902832,17.466535568237305,0.7,-0.0710154524854153,-0.03605440598048436,11.0,125.8869400024414
0.502,-34.55398526665408,-58.42498565597858,4460.628103593364,2.4973700046539307,-2978.29052734375,3.3850231170654297,8.111209869384766,18.639345169067383,0.7,-0.07245891858300654,-0.03909491245287957,11.0,135.8922119140625
0.551,-34.553984869349165,-58.42498472216366,4459.960105192848,2.502659797668457,-2980.83056640625,4.867669105529785,8.1671781539917,19.895030975341797,0.7,-0.07374098131073901,-0.04049995716279699,11.0,146.9266357421875
0.6,-34.553984493528226,-58.424983734987876,4459.293093161657,2.4868791103363037,-2979.217041015625,6.332032203674316,8.253464698791504,21.22097396850586,0.7,-0.07525245379006743,-0.04363007827695116,11.0,159.1037139892578
0.651,-34.55398415794959,-58.424982747812095,4458.6521273506805,2.449930429458618,-2974.060546875,7.688661575317383,8.394370079040527,22.54666519165039,0.7,-0.07722778675661433,-0.04428064059364619,11.0,170.3623809814453
0.701,-34.553983851269535,-58.424981787316746,4458.006865171716,2.394509792327881,-2966.330322265625,8.975381851196289,8.528003692626953,23.926570892333984,0.7,-0.07914309799973004,-0.04695335702816396,11.0,182.74456787109375
0.752,-34.55398358270072,-58.424980746780115,4457.368696386926,2.3175787925720215,-2956.04443359375,10.145135879516602,8.58066463470459,25.340923309326172,0.7,-0.08041686255482183,-0.04874514233633379,11.0,194.39186096191406
0.802,-34.55398334780058,-58.42497973292391,4456.721030338667,2.2175357341766357,-2943.530029296875,11.214402198791504,8.57442855834961,26.82358169555664,0.7,-0.08120666944750556,-0.0517385809487672,11.0,205.96534729003906
0.85,-34.553983154937356,-58.42497869238728,4456.085574309342,2.098541259765625,-2929.777587890625,12.145230293273926,8.594932556152344,28.32707977294922,0.7,-0.08223194461392824,-0.05267082680892109,11.0,217.06895446777344
0.902,-34.553982994764056,-58.42497767853107,4455.426677069627,1.9632633924484253,-2915.4306640625,12.988507270812988,8.707148551940918,29.931854248046875,0.7,-0.0840084920492339,-0.05574492013714015,11.0,228.3416748046875
0.952,-34.55398287468727,-58.424976664674865,4454.767962121405,1.808925747871399,-2900.517822265625,13.709598541259766,8.926020622253418,31.58371925354004,0.7,-0.08665834209605433,-0.05807351432524836,11.0,238.69900512695312
1.002,-34.553982793798276,-58.42497559745781,4454.100148299709,1.6357191801071167,-2885.3759765625,14.322196006774902,9.23332691192627,33.307518005371094,0.7,-0.09002256147004987,-0.06179043634024889,11.0,248.51193237304688
1.05,-34.553982755863025,-58.424974610282035,4453.446593738161,1.451578140258789,-2870.88671875,14.822534561157227,9.575695037841797,35.02780532836914,0.7,-0.09371097111308857,-0.0627217567987928,11.0,257.8379821777344
1.101,-34.55398276009847,-58.42497359642583,4452.763956297189,1.2555865049362183,-2857.096923828125,15.255545616149902,9.93443489074707,36.85982894897461,0.7,-0.09759647529369492,-0.0653298478359938,11.0,267.4501953125
1.15,-34.55398280914008,-58.4249725558892,4452.078824742697,1.0473676919937134,-2844.114990234375,15.611841201782227,10.268047332763672,38.743865966796875,0.7,-0.1012835277066453,-0.06899572243080099,11.0,276.8131408691406
1.202,-34.55398290430491,-58.42497154203299,4451.383767038584,0.8271846771240234,-2832.095703125,15.907781600952148,10.56960678100586,40.70518112182617,0.7,-0.10473536134738974,-0.07245486787501834,11.0,286.0632629394531
1.251,-34.55398303996697,-58.42497063489849,4450.709481824189,0.6036442518234253,-2821.5546875,16.14409065246582,10.838396072387695,42.65868377685547,0.7,-0.10796374275588924,-0.07340643837341329,11.0,294.92510986328125
1.301,-34.553983230204814,-58.42496964772271,4449.996376819909,0.37290158867836,-2812.3115234375,16.349258422851562,11.118243217468262,44.78243637084961,0.7,-0.11133987394834341,-0.07734733772122754,11.0,304.1627502441406
1.352,-34.55398346904324,-58.42496868722736,4449.281663985923,0.1374596208333969,-2804.489013671875,16.5157413482666,11.417713165283203,46.97759246826172,0.7,-0.11486047237883353,-0.0821461706021188,11.0,313.0343322753906
1.401,-34.5539837837812,-58.42496764669073,4448.502917436883,-0.12458661943674088,-2797.578857421875,16.6568546295166,11.78792953491211,49.45245361328125,0.7,-0.11911435845019744,-0.08471690585382638,11.0,322.1814880371094
1.452,-34.55398412101151,-58.42496676623666,4447.791727663018,-0.3631519079208374,-2792.845703125,16.752851486206055,12.17936897277832,51.788578033447266,0.7,-0.12341530773150584,-0.09009109877129218,11.0,330.0362548828125
1.502,-34.55398449177638,-58.42496593914343,4447.105488843285,-0.5978447794914246,-2789.5654296875,16.817333221435547,12.610639572143555,54.11459732055664,0.7,-0.1280914461176687,-0.09114359092925095,11.0,337.1045837402344
1.551,-34.55398492826884,-58.42496508536979,4446.386507597752,-0.8259004950523376,-2787.628662109375,16.856281280517578,13.113551139831543,56.62738800048828,0.7,-0.13340294835555408,-0.09646067620930446,11.0,344.2274169921875
1.602,-34.55398548088444,-58.42496415155487,4445.573818862438,-1.092261552810669,-2786.873046875,16.86460304260254,13.733016967773438,59.567901611328125,0.7,-0.1398953913381583,-0.1002106998085168,11.0,351.544189453125
1.651,-34.55398602824673,-58.4249633778225,4444.847088593058,-1.3193200826644897,-2787.476806640625,16.840532302856445,14.31678581237793,62.28564453125,0.7,-0.14593680383973417,-0.10657785567296288,11.0,357.54168701171875
1.7,-34.55398662415229,-58.42496260409013,4444.122122346424,-1.547443151473999,-2789.22314453125,16.785011291503906,14.90652847290039,65.08146667480469,0.7,-0.15209385119595134,-0.10998494527823788,11.0,362.869384765625
1.752,-34.55398726460655,-58.42496193707947,4443.401007461362,-1.7695595026016235,-2792.02392578125,16.69734764099121,15.48542308807373,67.94210815429688,0.7,-0.1582358403238746,-0.11299429772893455,11.0,367.9100646972656
1.802,-34.553987970227425,-58.42496119002753,4442.660223885439,-1.979433536529541,-2795.697265625,16.57024383544922,16.06328010559082,70.9635238647461,0.7,-0.1644502077049405,-0.11776159017533029,11.0,372.9028015136719
1.85,-34.55398874090116,-58.424960549697296,4441.90226541739,-2.1914026737213135,-2800.475830078125,16.39756202697754,16.63311767578125,74.14311218261719,0.7,-0.17064704414722184,-0.12388383602326886,11.0,377.6860656738281
1.901,-34.55398954025502,-58.42495996272791,4441.161327179521,-2.392669677734375,-2806.08642578125,16.1854305267334,17.169950485229492,77.334228515625,0.7,-0.17658993945333573,-0.12835257435842598,11.0,381.9932861328125
1.951,-34.55399046774314,-58.42495934907811,4440.348362285644,-2.6082241535186768,-2813.394287109375,15.902050971984863,17.737743377685547,80.9192123413086,0.7,-0.18309192010131495,-0.12963417120005954,11.0,386.389892578125
2.002,-34.55399141765072,-58.42495881546957,4439.556877333671,-2.790724515914917,-2820.7958984375,15.570253372192383,18.278478622436523,84.49272918701172,0.7,-0.18925253359647232,-0.13879651467450912,11.0,390.7907409667969
2.051,-34.553992358476776,-58.4249583352219,4438.805735968053,-2.9551355838775635,-2828.623046875,15.199036598205566,18.79400062561035,87.96118927001953,0.7,-0.19514947628353896,-0.14391045684843523,11.0,394.9105529785156
2.101,-34.55399336663349,-58.424957935015506,4438.029613976367,-3.116488218307495,-2837.663818359375,14.755393028259277,19.34135627746582,91.6131820678711,0.7,-0.20141505533016013,-0.14816543540961952,11.0,399.1047668457031
2.152,-34.553994391834415,-58.424957561489535,4437.265373674221,-3.264669418334961,-2847.545654296875,14.254097938537598,19.901029586791992,95.27294158935547,0.7,-0.20789327539875946,-0.1490207022393495,11.0,403.2518005371094
2.201,-34.553995529282396,-58.42495721464399,4436.442056021653,-3.3972761631011963,-2858.19970703125,13.637284278869629,20.52192497253418,99.28461456298828,0.7,-0.2149705602716044,-0.15745864929701409,11.0,407.8051452636719
2.25,-34.55399673464907,-58.4249569211593,4435.592749436386,-3.519655227661133,-2870.365966796875,12.911853790283203,21.163957595825195,103.50081634521484,0.7,-0.22232491406679727,-0.16325929468103711,11.0,412.4665832519531
