time_s,target_speed_kts,airspeed_kts,altitude_target_ft,altitude_agl_ft,climb_rate_ft_min,heading_reference_deg,heading_deg,pitch_deg,roll_deg,yaw_deg,latitude,longitude,collective_deg,torque,pitch_vacuum_deg,roll_vacuum_deg,yoke_pitch,yoke_roll,yoke_yaw,prop_ratio,mass_fixed_kg,mass_fuel_kg,cg,pitch_cmd,roll_cmd,yaw_cmd,initial_latitude,initial_longitude
0.007124423980712891,50.125,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,5.0,4509.3837890625,-24.794713973999023,-79.22573852539062,0.0,0.0,0.0,0.5097780823707581,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.05558323860168457,50.25,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,5.400000095367432,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.5231114029884338,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.10375642776489258,50.375,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,5.800000190734863,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.5364447832107544,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.15512609481811523,50.5,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,6.200000286102295,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.5497781038284302,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.20782113075256348,50.625,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,6.600000381469727,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.563111424446106,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.2539844512939453,50.75,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,7.000000476837158,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.5764447450637817,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.3067283630371094,50.875,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,7.40000057220459,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.5897780656814575,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.3549485206604004,51.0,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,7.8000006675720215,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.6031115055084229,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.4074127674102783,51.125,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,8.200000762939453,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.6164448261260986,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
0.45464205741882324,51.25,57.9256477355957,4500.0,13593.03071430036,-10655.641180323802,119.66765594482422,119.66765594482422,-37.41222381591797,163.4845733642578,107.89978790283203,-34.55400466918945,-58.42498779296875,8.600000381469727,4509.3837890625,-24.794713973999023,-79.22573852539062,0.25,-0.699999988079071,0.0,0.6297781467437744,345.637451171875,33.83946228027344,-0.01252120453864336,0.25,-0.7,0.0,-34.554,-58.425
